,No.,Name,Sell Price,Time of Year,Time of Day,Conditions
0,1,Common butterfly,160,Sept - June,4am ~ 7pm,
1,2,Yellow butterfly,160,"Mar - June, Sept, Oct",4am ~ 7pm,
2,3,Tiger butterfly,240,Mar - Sept,4am ~ 7pm,
3,4,Peacock butterfly,2500,Mar - June,4am ~ 7pm,
4,5,Common bluebottle,300,Apr - Aug,4am ~ 7pm,
5,6,Paper kite butterfly,1000,All Year,8am ~ 7pm,
6,7,Great purple emperor,3000,May - Aug,4am ~ 7pm,
7,8,Monarch butterfly,140,Sept - Nov,4am - 5pm,
8,9,Emperor butterfly,4000,"Dec - Mar, June - Sept",7pm ~ 8am,
9,10,Agrias butterfly,3000,Apr - Sept,8am ~ 5pm,
10,11,Rajah brooke's birdwing,2500,"Dec - Feb, Apr - Sept",8am ~ 5pm,
11,12,Queen Alexandra's birdwing,4000,May - Sept,8am ~ 4pm,
12,15,Madagascan sunset moth,2500,Apr - Sept,8am ~ 4pm,
13,32,Red dragonfly,180,Sept - Oct,8am ~ 7pm,
14,33,Darner dragonfly,230,Apr - Oct,8am ~ 5pm,
15,34,Banded dragonfly,4500,May - Oct,8am ~ 5pm,
16,35,Damselfly,500,Nov - Feb,All day,
17,36,Firefly,300,June,7pm ~ 4am,
18,72,Fly,60,All Year,All day,
19,73,Mosquito,130,June - Sept,5pm ~ 4am,
0,14,Atlas moth,3000,Apr - Sept,7pm ~ 4am,
1,26,Brown cicada,250,July - Aug,8am ~ 5pm,
2,27,Robust cicada,300,July - Aug,8am ~ 5pm,
3,28,Giant cicada,500,July - Aug,8am ~ 5pm,
4,29,Walker cicada,400,Aug - Sept,8am ~ 5pm,
5,30,Evening cicada,550,July - Aug,"4am ~ 8am, 4pm ~ 7pm",
6,31,Cicada shell,10,July - Aug,All day,
7,52,Scarab beetle,10000,July - Aug,11pm ~ 8am,
8,53,Drone beetle,200,June - Aug,All day,
9,55,Saw stag,2000,July - Aug,All day,
10,56,Miyama stag,1000,July - Aug,All day,
11,57,Giant stag,10000,July - Aug,11pm ~ 8am,
12,58,Rainbow stag,6000,June - Sept,7pm ~ 8am,
13,62,Horned dynastid,1350,July - Aug,5pm ~ 8am,
14,66,Walking stick,600,July - Nov,"4am ~ 8am, 5pm ~ 7pm",
0,16,Long locust,200,Apr - Nov,8am ~ 7pm,
1,17,Migratory Locust,600,Aug - Nov,8am ~ 7pm,
2,18,Rice grasshopper,400,Apr - Nov,8am ~ 7pm,
3,19,Grasshopper,160,July - Sept,8am ~ 5pm,
4,20,Cricket,130,Sept - Nov,5pm ~ 8am,
5,21,Bell cricket,430,Sept - Oct,5pm ~ 8am,
6,44,Tiger beetle,1500,Feb - Oct,All day,
7,51,Earth-boring dung beetle,300,July - Sept,All day,
8,69,Ant,80,All Year,All day,
9,79,Tarantula,8000,Nov - Apr,7pm ~ 4am,
10,80,Scorpion,8000,May - Oct,7pm ~ 4am,
0,22,Mantis,430,Mar - Nov,8am ~ 5pm,
1,23,Orchid mantis,2400,Mar - Nov,8am ~ 5pm,
2,24,Honeybee,200,Mar - July,8am ~ 5pm,
3,41,Stinkbug,120,Mar - Oct,All day,
4,42,Man-faced stink bug,1000,Mar - Oct,7pm ~ 8am,
5,43,Ladybug,200,"Mar - June, Oct",8am ~ 5pm,
0,45,Jewel beetle,2400,Apr - Aug,All day,
1,46,Violin beetle,450,"May, June, Sept - Nov",All day,
2,47,Citrus long-horned beetle,350,All Year,All day,
3,48,Rosalia batesi beetle,3000,May - Sept,All day,
0,38,Pondskater,130,May - Sept,8am ~ 7pm,
1,39,Diving beetle,800,May - Sept,8am ~ 7pm,
2,40,Giant water bug,2000,Apr - Sept,7pm ~ 8am,
0,49,Blue weevil beetle,800,July - Aug,All day,
1,54,Goliath beetle,8000,June - Sept,5pm ~ 8am,
2,59,Cyclommatus stag,8000,July - Aug,5pm ~ 8am,
3,60,Golden stag,12000,July - Aug,5pm ~ 8am,
4,61,Giraffe stag,12000,July - Aug,5pm ~ 8am,
5,63,Horned atlas,8000,July - Aug,5pm ~ 8am,
6,64,Horned elephant,8000,July - Aug,5pm ~ 8am,
7,65,Horned hercules,12000,July - Aug,5pm ~ 8am,
0,13,Moth,130,All Year,7pm ~ 4am,
1,25,Wasp,2500,All Year,All day,
2,37,Mole cricket,500,Nov - May,All day,
3,50,Dung beetle,3000,Dec - Feb,All day,
4,67,Walking leaf,600,July - Sept,All day,
5,68,Bagworm,600,All Year,All day,
6,70,Hermit crab,1000,All Year,7pm ~ 8am,
7,71,Wharf roach,200,All Year,All day,
8,74,Flea,70,Apr - nov,All day,
9,75,Snail,250,All Year,All day,Rainy day
10,76,Pill bug,250,Sept - June,11pm ~ 4pm,
11,77,Centipede,300,Sept - June,4pm ~ 11am,
12,78,Spider,600,All Year,7pm ~ 8am,
