,No.,Name,Sell Price,Time of Year,Time of Day,Conditions
0,1,Bitterling,900,N：Nov ~ MarS：May ~ Sept,All day,
1,2,Pale chub,200,N：All YearS：All Year,Afternoon,
2,3,Crucian carp,160,N：All YearS：All Year,All day,
3,4,Dace,240,N：All YearS：All Year,"Morning, Evening, Night",
4,12,Soft-shelled turtle,3750,N：Aug ~ SeptS：Feb ~ Mar,"Morning, Evening, Night",
5,13,Snapping turtle,5000,N：Apr ~ OctS：Oct ~ Apr,Night,
6,16,Freshwater goby,400,N：All YearS：All Year,"Morning, Evening, Night",
7,17,Loach,400,N：Mar ~ MayS：Sept ~ Nov,All day,
8,20,Bluegill,180,N：All YearS：All Year,Afternoon,
9,21,Yellow perch,300,N：Oct ~ MarS：Apr ~ Sept,All day,
10,22,Black bass,400,N：All YearS：All Year,All day,
11,23,Tilapia,800,N：June ~ OctS：Dec ~ Apr,All day,
12,24,Pike,1800,N：Sept ~ DecS：Mar ~ June,All day,
13,25,Pond smelt,400,N：Dec ~ FebS：June ~ Aug,All day,
14,26,Sweetfish,900,N：July ~ SeptS：Jan ~ Mar,All day,
15,33,Mitten crab,2000,N：Sept ~ OctS：Mar ~ May,"Morning, Evening, Night",
16,34,Guppy,1300,N：Apr ~ NovS：Oct ~ May,9am ~ 4pm,
17,35,Nibble fish,1500,N：May ~ SeptS：Nov ~ Mar,9am ~ 4pm,
18,36,Angelfish,3000,N：May ~ OctS：Nov ~ Apr,"Morning, Evening, Night",
19,37,Betta,2500,N：May ~ OctS：Nov ~ Apr,9am ~ 4pm,
20,38,Neon tetra,500,N：Apr ~ NovS：Oct ~ Apr,9am ~ 4pm,
21,39,Rainbowfish,800,N：May ~ OctS：Nov ~ Apr,Afternoon,
22,40,Piranha,2500,N：June ~ SeptS：Dec ~ Mar,"Afternoon, Night",
23,41,Arowana,10000,N：June ~ SeptS：Dec ~ Mar,"Morning, Evening, Night",
24,42,Dorado,15000,N：June ~ SeptS：Dec ~ Mar,4am ~ 9pm,
25,44,Arapaima,10000,N：June ~ SeptS：Dec ~ Mar,"Morning, Evening, Night",
26,45,Saddled bichir,4000,N：June ~ SeptS：Dec ~ Mar,Night,
0,47,Sea butterfly,1000,N：Dec ~ MarS：Jun ~ Sept,All day,
1,48,Sea horse,1100,N：Apr ~ NovS：Oct ~ May,All day,
2,49,Clown fish,650,N：Apr ~ SeptS：Oct ~ May,All day,
3,50,Surgeonfish,1000,N：Apr ~ SeptS：Oct ~ May,All day,
4,51,Butterfly Fish,1000,N：Apr ~ SeptS：Oct ~ May,All day,
5,52,Napoleonfish,10000,N：July ~ AugS：Jan ~ Feb,4am ~ 9pm,
6,53,Zebra turkeyfish,500,N：Apr ~ NovS：Oct ~ May,All day,
7,54,Blowfish,5000,N：Nov ~ FebS：-,9pm ~ 4am,
8,55,Puffer fish,250,N：July ~ SeptS：Jan ~ Mar,All day,
9,56,Anchovy,200,N：All YearS：All Year,"Morning, Afternoon, Evening",
10,57,Horse mackerel,150,N：All YearS：All Year,All day,
11,58,Barred knifejaw,5000,N：Mar ~ NovS：Sept ~ May,All day,
12,59,Sea bass,400,N：All YearS：All Year,All day,
13,60,Red Snapper,3000,N：All YearS：All Year,All day,
14,61,Dab,300,N：Oct ~ AprS：Apr ~ Oct,All day,
15,62,Olive flounder,800,N：All YearS：All Year,All day,
16,63,Squid,500,N：Dec ~ AugS：June ~ Feb,All day,
17,64,Moray eel,2000,N：Aug ~ OctS：Feb ~ Apr,All day,
18,65,Ribbon eel,600,N：June ~ OctS：Dec ~ Apr,All day,
19,70,Ocean sunfish,4000,N：July ~ SeptS：Jan ~ Mar,"Morning, Afternoon, Evening",
20,71,Ray,3000,N：Aug ~ NovS：Feb ~ May,4am ~ 9pm,
21,72,Saw Shark,12000,N：June ~ SeptS：Dec ~ Mar,"Morning, Evening, Night",
22,73,Hammerhead shark,8000,N：June ~ SeptS：Dec ~ Mar,"Morning, Evening, Night",
23,74,Great white shark,15000,N：June ~ SeptS：Dec ~ Mar,"Morning, Evening, Night",
24,75,Whale shark,13000,N：June ~ SeptS：Dec ~ Mar,All day,
25,76,Suckerfish,1500,N：June ~ SeptS：Dec ~ Mar,All day,
26,77,Football fish,2500,N：Nov ~ MarS：May ~ Sept,4pm - 9am,
27,78,Oarfish,9000,N：Dec ~ MayS：June ~ Nov,All day,
28,79,Barreleye,15000,N：All YearS：All Year,9pm ~ 4am,
29,80,Coelacanth,15000,N：All YearS：All Year,All day,Rainy day
0,5,Carp,300,N：All YearS：All Year,All day,
1,6,Koi,4000,N：All YearS：All Year,"Morning, Evening, Night",
2,7,Goldfish,1300,N：All YearS：All Year,All day,
3,8,Pop-eyed goldfish,1300,N：All YearS：All Year,Afternoon,
4,9,Ranchu goldfish,4500,N：All YearS：All Year,9am ~ 4pm,
5,10,Killifish,300,N：Apr ~ AugS：Dec ~ Feb,All day,
6,11,Crawfish,200,N：Apr ~ SeptS：Oct ~ Mar,All day,
7,14,Tadpole,100,N：Mar ~ JulyS：Sept ~ Jan,All day,
8,15,Frog,120,N：May ~ AugS：Nov ~ Feb,All day,
9,18,Catfish,800,N：May ~ OctS：Nov ~ Apr,"Morning, Evening, Night",
10,19,Giant snakehead,5500,N：June ~ AugS：Dec ~ Feb,9am ~ 4pm,
11,43,Gar,6000,N：June ~ SeptS：Dec ~ Mar,"Morning, Evening, Night",
